citation,topic,habitat_type,habitat_subtype,habitat_depth,assemblage_type,species_name_scientific,species_name_common,geographic_region,ecological_fitness_metric,climate_effect,mpa_effect,analytical method,name_of_mpa,Coordinates,Latitude,Longitude,magnitude,mechanism
"Smith, Joshua G., et al. ""A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems."" Global Change Biology 29.19 (2023): 5634-5651.",community,temperate,intertidal,,na,na,na,temperate_northern_pacific,community_structure,mortality,positive_ecosystem,inside/outside study,"California central coast, multiple sites","35.5547069165332, -121.1895042321675",35.55470692,-121.1895042,resistance & recovery,includes macroalgal and conspicuos mobile & sessile invertebrates
"Smith, Joshua G., et al. ""A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems."" Global Change Biology 29.19 (2023): 5634-5651.",community,temperate,kelp_forest,,na,na,na,temperate_northern_pacific,community_structure,mortality,no_effect,inside/outside study,"California central coast, multiple sites","35.5547069165332, -121.1895042321675",35.55470692,-121.1895042,no resistance or recovery,"includes macroalgal, conspicuos mobile & sessile invertebrates, and fishes"
"Smith, Joshua G., et al. ""A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems."" Global Change Biology 29.19 (2023): 5634-5651.",community,temperate,shallow_reef,,all_fish,na,na,temperate_northern_pacific,community_structure,mortality,no_effect,inside/outside study,"California central coast, multiple sites","35.5547069165332, -121.1895042321675",35.55470692,-121.1895042,some indication of possible recovery,
"Smith, Joshua G., et al. ""A marine protected area network does not confer community structure resilience to a marine heatwave across coastal ecosystems."" Global Change Biology 29.19 (2023): 5634-5651.",community,temperate,deep_reef,,all_fish,na,na,temperate_northern_pacific,community_structure,mortality,no_effect,inside/outside study,"California central coast, multiple sites","35.5547069165332, -121.1895042321675",35.55470692,-121.1895042,highly variable,
"Srednick, Griffin, and Stephen E. Swearer. ""Effects of protection and temperature variation on temporal stability in a marine reserve network."" Conservation Biology 38.3 (2024): e14220.",community,temperate,rocky_reef,,prey_species,na,na,temperate_northern_pacific,competition_strength,mortality,positive_ecosystem,inside/outside study,"Channel Islands, multiple sites","34.005159347758585, -119.95795537999616",34.00515935,-119.9579554,"no effect at the community level, but positive (higher competition) at the metacommunity level",
"Srednick, Griffin, and Stephen E. Swearer. ""Effects of protection and temperature variation on temporal stability in a marine reserve network."" Conservation Biology 38.3 (2024): e14220.",community,temperate,rocky_reef,,prey_species,na,na,temperate_northern_pacific,predation_strength,mortality,positive_ecosystem,inside/outside study,"Channel Islands, multiple sites","34.005159347758585, -119.95795537999616",34.00515935,-119.9579554,,
"Srednick, Griffin, and Stephen E. Swearer. ""Effects of protection and temperature variation on temporal stability in a marine reserve network."" Conservation Biology 38.3 (2024): e14220.",community,temperate,rocky_reef,,prey_species,na,na,temperate_northern_pacific,prey_species_synchrony,phenology,positive_ecosystem,inside/outside study,"Channel Islands, multiple sites","34.005159347758585, -119.95795537999616",34.00515935,-119.9579554,,
"Srednick, Griffin, and Stephen E. Swearer. ""Effects of protection and temperature variation on temporal stability in a marine reserve network."" Conservation Biology 38.3 (2024): e14220.",community,temperate,rocky_reef,,na,na,na,temperate_northern_pacific,trophic_network_temporal_stability,mortality,negative_ecosystem,inside/outside study,"Channel Islands, multiple sites","34.005159347758585, -119.95795537999616",34.00515935,-119.9579554,,may be due to increased competition strenght of prey taxa
"Strain, Elisabeth MA, et al. ""A global assessment of the direct and indirect benefits of marine protected areas for coral reef conservation."" Diversity and Distributions 25.1 (2019): 9-20.",community,tropical,coral_reef,,benthic,na,na,global,community_composition,habitat_formation,positive_ecosystem,inside/outside study,30 MPAs across 28 ecoregions,NA,NA,,small effect,"Unsurprisingly,  we  found MPA protection         had         greater        benefits        for        enhancing  the        biomass         of        carnivorous  and        herbivorous         fishes,         which        are        often   targeted         by        local        fisheries,         than         for        the   cover        of        live        corals."
"Strain, Elisabeth MA, et al. ""A global assessment of the direct and indirect benefits of marine protected areas for coral reef conservation."" Diversity and Distributions 25.1 (2019): 9-20.",community,tropical,coral_reef,,herbivorous_fish,na,na,global,biomass,mortality,positive_ecosystem,inside/outside study,30 MPAs across 28 ecoregions,NA,NA,,,
"Strain, Elisabeth MA, et al. ""A global assessment of the direct and indirect benefits of marine protected areas for coral reef conservation."" Diversity and Distributions 25.1 (2019): 9-20.",community,tropical,coral_reef,,piscivorous_fish,na,na,global,biomass,mortality,positive_ecosystem,inside/outside study,30 MPAs across 28 ecoregions,NA,NA,,,
"Toth, L. T., et al. ""Do no-take reserves benefit Florida’s corals? 14 years of change and stasis in the Florida Keys National Marine Sanctuary."" Coral Reefs 33 (2014): 565-577",assemblage,tropical,coral_reef,,hard_coral,na,na,tropical_atlantic,coral_cover,habitat_formation,no_effect,inside/outside study,Florida Keys National Marine Sanctuary,"24.593560197246095, -81.52309176706174",24.5935602,-81.52309177,,
"Wenger, Amelia S., et al. ""Effects of reduced water quality on coral reefs in and out of no‐take marine reserves."" Conservation Biology 30.1 (2016): 142-153.",assemblage,tropical,coral_reef,,hard_coral,na,na,central_indo_pacific,coral_cover,habitat_formation,negative_ecosystem,inside/outside study,Great Barrier Reef Marine Park,"-23.132116116952705, 150.92963170745068",-23.13211612,150.9296317,resilience decrease with subsequent disturbance events,"predation and herbivory explained most of variation in live coral cover. ""Primary water exposure did not explain any of the variation in coral cover from 2007 to 2009"""
"Wenger, Amelia S., et al. ""Effects of reduced water quality on coral reefs in and out of no‐take marine reserves."" Conservation Biology 30.1 (2016): 142-153.",assemblage,tropical,coral_reef,,macroalgal,na,na,central_indo_pacific,macroalgal_cover,habitat_formation,negative_ecosystem,inside/outside study,Great Barrier Reef Marine Park,"-23.132116116952705, 150.92963170745068",-23.13211612,150.9296317,,
"Wenger, Amelia S., et al. ""Effects of reduced water quality on coral reefs in and out of no‐take marine reserves."" Conservation Biology 30.1 (2016): 142-153.",assemblage,tropical,coral_reef,,algal_croppers,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-23.132116116952705, 150.92963170745068",-23.13211612,150.9296317,,
"Wenger, Amelia S., et al. ""Effects of reduced water quality on coral reefs in and out of no‐take marine reserves."" Conservation Biology 30.1 (2016): 142-153.",assemblage,tropical,coral_reef,,turf_croppers,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-23.132116116952705, 150.92963170745068",-23.13211612,150.9296317,,
"Wenger, Amelia S., et al. ""Effects of reduced water quality on coral reefs in and out of no‐take marine reserves."" Conservation Biology 30.1 (2016): 142-153.",assemblage,tropical,coral_reef,,macro-algal_browsers,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-23.132116116952705, 150.92963170745068",-23.13211612,150.9296317,,
"Wenger, Amelia S., et al. ""Effects of reduced water quality on coral reefs in and out of no‐take marine reserves."" Conservation Biology 30.1 (2016): 142-153.",assemblage,tropical,coral_reef,,na,na,territorial damselfish,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-23.132116116952705, 150.92963170745068",-23.13211612,150.9296317,,
"Wilson, Shaun K., et al. ""Effect of macroalgal expansion and marine protected areas on coral recovery following a climatic disturbance."" Conservation Biology 26.6 (2012): 995-1004.",assemblage,tropical,coral_reef,,benthic,na,na,western_indo_pacific,benthic_cover,habitat_formation,no_effect,inside/outside study,"Ste Anne Marine National Park, Curieuse Marine National Park, Baie Ternay Marine National Park (Seychelles, multiple sites)","-4.475918697905659, 55.529982809882945",-4.475918698,55.52998281,,"""Sites within MPAs had faster rates of coral recovery than sites in fished areas only where cover of macroalgae was low and had not increased over time. In MPAs where macroalgae cover expanded since 1998 there was no recovery."""
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_pacific,taxonomic_diversity,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,"Specifically, we observed that marine reserves were more resistant to functional changes and taxonomic diversity recovered more rapidly from the MHW than in references areas open to fishing.",
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_pacific,community_composition,mortality,negative_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,communities in MPAs changed to a greater extent than communities in reference sites during and after the heatwave. shift towards warm-water affinity species and planktivorous species,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_pacific,functional_diversity,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,"""However, the proportional decline was dampened inside the MPA with only a 30% decline compared to 43% decline in areas open to fishing driven by a smaller loss of piscivores and an increase in the biomass of mixed carnivores inside the MPAs. This further suggests that MPAs may be more resistant to climatic disturbance events by maintaining higher functional diversity."" ""Taxonomic diversity recovered 75% faster in the MPA""",
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_pacific,richness,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_pacific,diversity,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,target_fish,na,na,temperate_northern_pacific,evenness,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,na,Gopher rockfish,temperate_northern_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,Sebastes caurinus,Copper rockfish,temperate_northern_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,na,Olive rockfish,temperate_northern_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,Sebastes miniatus,Vermilion rockfish,temperate_northern_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,Ophiodon elongatus,Lingcod,temperate_northern_pacific,biomass,mortality,negative_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,Sebates flavidus,Yellowtail rockfish,temperate_northern_pacific,biomass,mortality,negative_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
"Ziegler, Shelby L., et al. ""Marine protected areas, marine heatwaves, and the resilience of nearshore fish communities."" Scientific Reports 13.1 (2023): 1405.",assemblage,temperate,rocky_reef,,na,Sebastes atrovirens,Kelp rockfish,temperate_northern_pacific,biomass,mortality,negative_ecosystem,inside/outside study,"Central California, multiple sites","36.051796218977756, -121.64972854895616",36.05179622,-121.6497285,,
